Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
175,Female,35-44 Years,European,No Qualification,Employed Part-time,"$ 5,001 - $10,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
176,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
177,Male,25-34 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB02
178,Male,25-34 Years,Maori,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
179,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,No,MB02
180,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
181,Female,25-34 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB02
182,Female,45-54 Years,Maori,University Degree or Higher,Employed Part-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB02
183,Female,55-64 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB02
184,Female,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB02
185,Female,55-64 Years,Maori,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
186,Female,15-24 Years,Asian,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB02
187,Male,45-54 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB02
188,Female,15-24 Years,Maori,School Qualification,Employed Part-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB02
189,Female,25-34 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
190,Male,45-54 Years,Maori,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,No,MB02
191,Female,55-64 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
192,Female,45-54 Years,Maori,Trade or Vocational,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
193,Female,35-44 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
194,Male,25-34 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
195,Female,15-24 Years,Asian,University Degree or Higher,Employed Full-time,"$ 5,000 or Less",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB02
196,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
197,Male,65 Years and Over,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
198,Female,25-34 Years,Maori,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
199,Male,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
200,Female,55-64 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
201,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
202,Male,45-54 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB02
203,Female,25-34 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
204,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB02
205,Female,15-24 Years,Maori,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
206,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
207,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
208,Female,45-54 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
209,Female,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
210,Male,15-24 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
211,Female,35-44 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
212,Female,35-44 Years,Maori,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
213,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,No,No,MB02
214,Female,65 Years and Over,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Ex-Smoker,No,Yes,MB02
215,Female,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB02
216,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
217,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB02
218,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
219,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Bicycle,Ex-Smoker,Yes,Yes,MB02
220,Female,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
221,Female,15-24 Years,Maori,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
222,Male,55-64 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
223,Female,35-44 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB02
224,Male,45-54 Years,Maori,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
225,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",30-39 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB02
226,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
227,Male,45-54 Years,European,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,No,Yes,MB02
228,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB02
229,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB02
230,Male,45-54 Years,Maori,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
231,Female,65 Years and Over,European,School Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
232,Male,15-24 Years,Maori,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
233,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB02
234,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB02
235,Female,25-34 Years,Maori,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
236,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB02
237,Female,55-64 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
238,Male,45-54 Years,European,No Qualification,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
239,Female,15-24 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
240,Male,45-54 Years,Maori,No Qualification,Employed Part-time,"$50,001 or More",30-39 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB02
241,Male,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB02
242,Female,65 Years and Over,European,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
243,Male,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB02
244,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
245,Female,55-64 Years,European,No Qualification,Employed Part-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB02
246,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB02
247,Male,55-64 Years,Maori,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB02
248,Female,55-64 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,No,Yes,MB02
249,Female,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
250,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB02
251,Female,65 Years and Over,European,University Degree or Higher,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,No,No,MB02
252,Female,15-24 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB02
253,Female,45-54 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
254,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB02
255,Female,35-44 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
256,Female,15-24 Years,Maori,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
257,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
258,Female,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
259,Female,65 Years and Over,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,No,No,MB02
260,Female,65 Years and Over,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
261,Female,55-64 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB02
262,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
263,Female,45-54 Years,Maori,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
264,Male,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
265,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB02
266,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
267,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
268,Male,45-54 Years,Maori,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB02
269,Male,35-44 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB02
270,Male,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB02
271,Female,45-54 Years,Maori,School Qualification,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
272,Male,55-64 Years,European,Trade or Vocational,Employed Part-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB02
273,Female,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
274,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB02
275,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB02
276,Female,35-44 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",30-39 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB02
277,Female,65 Years and Over,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,No,MB02
278,Female,45-54 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
279,Male,55-64 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
280,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,No,Yes,MB02
281,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
282,Female,55-64 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB02
283,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB02
284,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB02
285,Male,25-34 Years,European,No Qualification,Employed Full-time,"$10,001 - $20,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
286,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
287,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
288,Female,55-64 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,No,MB02
289,Male,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB02
290,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
291,Female,45-54 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB02
292,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,No,MB02
293,Female,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
294,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
295,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB02
